Function,Project Description,Project Number,Type,Asset Class,Asset Sub-Class,Ward Location,GPS Longitude,GPS,"Budget Year
2024/25","Budget Year
2024/26","Budget Year
2024/27"
Community Services & Health,City Health: Computer: Replacement FY25 (Area South),CPX/0012676: CPX.0028844,Renewal,Computer Equipment,Computer Equipment,Area South,18.43864854,-34.0976043,1 000,null,null
Community Services & Health,City Health: National Core Standards - South FY25,CPX/0006962: CPX.0016810,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.50694142,-34.0475395,4 500,null,null
Community Services & Health,City Health: National Core Standards - South FY26,CPX/0006962: CPX.0016814,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.46842205,-34.0591317,null,4 000,null
Community Services & Health,City Health: National Core Standards - South FY27,CPX/0006962: CPX.0016818,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.42720943,-34.1054625,null,null,4 000
Community Services & Health,City Health: Security Upgrades - South FY25,CPX/0028972: CPX.0028997,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.44595799,-34.1110991,575,null,null
Community Services & Health,City Health: Security Upgrades - South FY26,CPX/0028972: CPX.0031568,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.45050959,-34.1085646,null,500,null
Community Services & Health,City Health: Security Upgrades - South FY27,CPX/0028972: CPX.0036449,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.4324333,-34.1109962,null,null,450
Community Services & Health,City Health: Upgrade EH Offices - South FY25,CPX/0024654: CPX.0025159,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.45481861,-34.1033449,1 600,null,null
Community Services & Health,City Health: Upgrade EH Offices - South FY26,CPX/0024654: CPX.0025180,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.4685448,-34.0863327,null,4 500,null
Community Services & Health,City Health: Upgrades to Clinics - South FY25,CPX/0013376: CPX.0025081,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.44377526,-34.1053073,800,null,null
Community Services & Health,City Health: Upgrades to Clinics - South FY27,CPX/0013376: CPX.0025082,Upgrade,Community Facilities,Clinics/Care Centres,Area South,18.45000218,-34.1018626,null,null,4 500
Community Services & Health,"Library & Information Services: Books, Periodicals & Subs South FY25",CPX/0003798: CPX.0038401,New,Community Facilities,Libraries,Area South,18.46946904,-34.1287245,2 687,null,null
Community Services & Health,"Library & Information Services: Books, Periodicals & Subs South FY26",CPX/0003798: CPX.0031651,New,Community Facilities,Libraries,Area South,18.47434175,-34.0697939,null,3 063,null
Community Services & Health,"Library & Information Services: Books, Periodicals & Subs South FY27",CPX/0003798: CPX.0032102,New,Community Facilities,Libraries,Area South,18.45724613,-34.114507,null,null,3 110
