Function,Project Description,Project Number,Type,Asset Class,Asset Sub-Class,Ward Location,GPS Longitude,GPS,"Budget Year
2024/25","Budget Year
2024/26","Budget Year
2024/27"
Community Services & Health,City Health: Air Pollution Control Equipm: Add FY25,CPX/0000349: CPX.0023319,New,Machinery and Equipment,Machinery and Equipment,City-Wide,18.5949097,-33.8907923,350,null,null
Community Services & Health,City Health: Air Pollution Control Equipm: Add FY26,CPX/0000349: CPX.0023336,New,Machinery and Equipment,Machinery and Equipment,City-Wide,18.5949097,-33.8907923,null,350,null
Community Services & Health,City Health: Air Pollution Control Equipm: Add FY27,CPX/0000349: CPX.0023337,New,Machinery and Equipment,Machinery and Equipment,City-Wide,18.5949097,-33.8907923,null,null,350
Community Services & Health,City Health: Environmental Health Equipm: Repl FY25,CPX/0000350: CPX.0023338,Renewal,Machinery and Equipment,Machinery and Equipment,City-Wide,18.5949097,-33.8907923,300,null,null
Community Services & Health,City Health: Environmental Health Equipm: Repl FY26,CPX/0000350: CPX.0023352,Renewal,Machinery and Equipment,Machinery and Equipment,City-Wide,18.5949097,-33.8907923,null,150,null
Community Services & Health,City Health: Environmental Health Equipm: Repl FY27,CPX/0000350: CPX.0023433,Renewal,Machinery and Equipment,Machinery and Equipment,City-Wide,18.5949097,-33.8907923,null,null,500
Community Services & Health,City Health: Environmental Health Equipment: Add FY25,CPX/0028973: CPX.0028959,New,Machinery and Equipment,Machinery and Equipment,City-Wide,18.5949097,-33.8907923,1 000,null,null
Community Services & Health,City Health: Environmental Health Equipment: Add FY26,CPX/0028973: CPX.0031542,New,Machinery and Equipment,Machinery and Equipment,City-Wide,18.52501894,-34.1411561,null,1 000,null
Community Services & Health,City Health: Environmental Health Equipment: Add FY27,CPX/0028973: CPX.0036734,New,Machinery and Equipment,Machinery and Equipment,City-Wide,18.52501894,-34.1411561,null,null,550
Community Services & Health,City Health: Security Upgrades - Spec Health FY25,CPX/0028972: CPX.0029009,Upgrade,Community Facilities,Clinics/Care Centres,City-Wide,18.52501894,-34.1411561,150,null,null
